Temperature[K]	Time[s]	Desorption_events
1899.81286672	67.9969628491	1.0	
1900.22586038	68.0933813012	1.0	
1900.63193015	68.1593907602	1.0	
1900.85013028	68.1806613506	1.0	
1901.19463845	68.2971940297	1.0	
1901.59751694	68.3418127458	1.0	
1902.09214597	68.4950456432	1.0	
1902.50773882	68.5080498851	1.0	
1903.03190713	68.7047129656	1.0	
1903.66928835	68.7630023726	1.0	
1904.16938785	68.9047527676	1.0	
1905.16026411	69.1593528747	1.0	
1905.80459398	69.1624847178	1.0	
1906.35428944	69.3792310571	1.0	
1907.09550187	69.4589696918	1.0	
1907.71934187	69.6287670554	1.0	
1908.62106354	69.8196583621	1.0	
1909.1615075	69.8449446367	1.0	
1909.64762737	70.014106312	1.0	
1911.6158416	70.6322303263	1.0	
1914.14229735	71.0246886148	1.0	
1915.24021549	71.0713975816	1.0	
1916.17672399	71.3992920132	1.0	
1917.18368992	71.4741839547	1.0	
1917.86808909	71.6730516796	1.0	
1919.72544492	72.2171262882	1.0	
1921.27512098	72.2929221037	1.0	
1921.6428472	72.3642167759	1.0	
1921.93941151	72.4115478293	1.0	
1922.14373633	72.4459467022	1.0	
1922.56986194	72.5819980736	1.0	
1923.04674461	72.6366997708	1.0	
1924.125456	73.0134826282	1.0	
1925.33929455	73.1222351918	1.0	
1926.23538279	73.3719179223	1.0	
1927.03764859	73.4431415144	1.0	
1929.28779183	74.2719752191	1.0	
1931.73115358	74.4204862138	1.0	
1932.21482301	74.4654429883	1.0	
1932.72721284	74.6254421474	1.0	
1933.46664253	74.7612148633	1.0	
1934.80239731	75.1597440588	1.0	
1935.86532675	75.1863866404	1.0	
1937.11541566	75.6597796244	1.0	
1939.11279807	75.9853396042	1.0	
1941.05610929	76.4371041126	1.0	
1942.67033882	76.631031415	1.0	
1944.02617859	76.9794400204	1.0	
